No	LINES_ID	ARRAY_ID	RILS_NAME	SEED_FROM	11YN_NAME	11YN_SEED_NUMBER	11YXH_NAME	11YXH_SEED_NUMBER	12RIL_NAME	12RIL_SEED_NUMBER	NOTES	
111	BB109	HZAU-710-2	BY804/B73 RIL	HO132	11YN2137	100	11YXH2218	100	12RIL0109	200	100/200 means more than 100/200;0 means missing	
112	BB110	HZAU-711-1	BY804/B73 RIL	10YXH0776	11YN2008	0	11YXH2219	100	12RIL0110	200	100/200 means more than 100/200;0 means missing	
113	BB111	HZAU-712-1	BY804/B73 RIL	10YXH0777	11YN2117	38	11YXH2220	100	12RIL0111	200	100/200 means more than 100/200;0 means missing	
114	BB112	HZAU-713-2	BY804/B73 RIL	HO135	11YN2132	100	11YXH2221	100	12RIL0112	200	100/200 means more than 100/200;0 means missing	
115	BB113	HZAU-714-1	BY804/B73 RIL	HO137	11YN2105	0	11YXH2222	100	12RIL0113	200	100/200 means more than 100/200;0 means missing	
116	BB114	HZAU-715-1	BY804/B73 RIL	HO138	11YN2150	0	11YXH2223	5	12RIL0114	0	100/200 means more than 100/200;0 means missing	
117	BB115	HZAU-716-1	BY804/B73 RIL	HO140	11YN2069	100	11YXH2224	0	12RIL0115	200	100/200 means more than 100/200;0 means missing	
118	BB116	HZAU-717-1	BY804/B73 RIL	HO141	11YN2030	100	11YXH2225	100	12RIL0116	200	100/200 means more than 100/200;0 means missing	
119	BB117	HZAU-718-2	BY804/B73 RIL	HO142	11YN2074	0	11YXH2226	40	12RIL0117	200	100/200 means more than 100/200;0 means missing	
120	BB118	HZAU-719-1	BY804/B73 RIL	HO145	11YN1972	100	11YXH2227	100	12RIL0118	200	100/200 means more than 100/200;0 means missing	
121	BB119	HZAU-720-1	BY804/B73 RIL	HO146	11YN2162	100	11YXH2228	100	12RIL0119	200	100/200 means more than 100/200;0 means missing	
122	BB120	HZAU-721-1	BY804/B73 RIL	HO147	11YN2003	100	11YXH2229	100	12RIL0120	200	100/200 means more than 100/200;0 means missing	
123	BB121	HZAU-722-1	BY804/B73 RIL	HO148	11YN2134	47	11YXH2230	100	12RIL0121	200	100/200 means more than 100/200;0 means missing	
124	BB122	HZAU-723-1,723-2	BY804/B73 RIL	10YXH0781	11YN2168	100	11YXH2231	100	12RIL0122	200	100/200 means more than 100/200;0 means missing;in three bags(12RIL)	
125	BB123	HZAU-724-1	BY804/B73 RIL	HO150	11YN2160	102	11YXH2232	100	12RIL0123	200	100/200 means more than 100/200;0 means missing	
126	BB124	725-1-2	BY804/B73 RIL	HO151	11YN2049	0	11YXH2233	32	12RIL0124	132	100/200 means more than 100/200;0 means missing	
127	BB125	HZAU-726-1	BY804/B73 RIL	HO152	11YN2061	0	11YXH2234	0	12RIL0125	200	100/200 means more than 100/200;0 means missing	
128	BB126	HZAU-727-3	BY804/B73 RIL	HO153	11YN2154	50	11YXH2235	100	12RIL0126	200	100/200 means more than 100/200;0 means missing	
129	BB127	HZAU-728-2	BY804/B73 RIL	HO154	11YN1991	75	11YXH2236	100	12RIL0127	200	100/200 means more than 100/200;0 means missing;use the white cob(12RIL)	
130	BB128	HZAU-729-1	BY804/B73 RIL	10YXH0782	11YN2071	0	11YXH2237	23	12RIL0128	200	100/200 means more than 100/200;0 means missing	
131	BB129	HZAU-730-2	BY804/B73 RIL	HO156	11YN2007	0	11YXH2238	0	12RIL0129	200	100/200 means more than 100/200;0 means missing	
132	BB130	HZAU-731-2	BY804/B73 RIL	HO157	11YN2085	100	11YXH2239	100	12RIL0130	200	100/200 means more than 100/200;0 means missing	
133	BB131	HZAU-732-2	BY804/B73 RIL	HO161	11YN2097	100	11YXH2240	100	12RIL0131	200	100/200 means more than 100/200;0 means missing	
134	BB132	HZAU-733-2	BY804/B73 RIL	HO162	11YN2083	100	11YXH2241	100	12RIL0132	200	100/200 means more than 100/200;0 means missing	
135	BB133	HZAU-734-2	BY804/B73 RIL	HO163	11YN2152	100	11YXH2242	100	12RIL0133	200	100/200 means more than 100/200;0 means missing	
136	BB134	HZAU-735-2	BY804/B73 RIL	HO164	11YN1996	100	11YXH2243	100	12RIL0134	200	100/200 means more than 100/200;0 means missing	
137	BB135	HZAU-736-1,736-2	BY804/B73 RIL	HO165	11YN2167	100	11YXH2244	100	12RIL0135	200	100/200 means more than 100/200;0 means missing	
138	BB136	HZAU-737-1	BY804/B73 RIL	HO166	11YN1988	13	11YXH2245	56	12RIL0136	200	100/200 means more than 100/200;0 means missing	
139	BB137	HZAU-738-1	BY804/B73 RIL	HO167	11YN2149	100	11YXH2246	100	12RIL0137	128	100/200 means more than 100/200;0 means missing	
140	BB138	HZAU-739-2	BY804/B73 RIL	HO168	11YN2011	39	11YXH2247	100	12RIL0138	0	100/200 means more than 100/200;0 means missing	
141	BB139	HZAU-740-2	BY804/B73 RIL	HO169	11YN2166	100	11YXH2248	100	12RIL0139	100	100/200 means more than 100/200;0 means missing;in two bags(12RIL)	
142	BB140	HZAU-741-4	BY804/B73 RIL	10YXH0786	11YN2116	100	11YXH2249	100	12RIL0140	200	100/200 means more than 100/200;0 means missing	
143	BB141	HZAU-742-1	BY804/B73 RIL	HO171	11YN2057	100	11YXH2250	100	12RIL0141	200	100/200 means more than 100/200;0 means missing	
144	BB142	HZAU-743-1	BY804/B73 RIL	HO172	11YN2052	100	11YXH2251	100	12RIL0142	200	100/200 means more than 100/200;0 means missing	
145	BB143	HZAU-744-1	BY804/B73 RIL	HO173	11YN1990	100	11YXH2252	100	12RIL0143	200	100/200 means more than 100/200;0 means missing	
146	BB144	HZAU-745-2	BY804/B73 RIL	HO175	11YN2171	100	11YXH2253	100	12RIL0144	200	100/200 means more than 100/200;0 means missing	
147	BB145	746-1-2-A	BY804/B73 RIL	HO176	11YN2046	100	11YXH2254	100	12RIL0145	200	100/200 means more than 100/200;0 means missing	
148	BB146	HZAU-747-2	BY804/B73 RIL	HO180	11YN2021	100	11YXH2255	71	12RIL0146	200	100/200 means more than 100/200;0 means missing	
149	BB147	HZAU-748-4	BY804/B73 RIL	HO182	11YN2026	100	11YXH2256	0	12RIL0147	200	100/200 means more than 100/200;0 means missing	
150	BB148	HZAU-749-1	BY804/B73 RIL	HO183	11YN2124	100	11YXH2257	100	12RIL0148	200	100/200 means more than 100/200;0 means missing	
151	BB149	HZAU-750-2,750-1	BY804/B73 RIL	HO184	11YN2100	100	11YXH2258	100	12RIL0149	200	100/200 means more than 100/200;0 means missing	
152	BB150	HZAU-751-2	BY804/B73 RIL	HO185	11YN2039	100	11YXH2259	6	12RIL0150	200	100/200 means more than 100/200;0 means missing	
153	BB151	HZAU-752-1	BY804/B73 RIL	HO186	11YN2018	0	11YXH2260	100	12RIL0151	200	100/200 means more than 100/200;0 means missing	
154	BB152	HZAU-753-1	BY804/B73 RIL	HO188	11YN2043	0	11YXH2261	100	12RIL0152	200	100/200 means more than 100/200;0 means missing	
155	BB153	HZAU-754-3,754-1	BY804/B73 RIL	HO189	11YN2062	100	11YXH2262	100	12RIL0153	200	100/200 means more than 100/200;0 means missing	
156	BB154	HZAU-755-2	BY804/B73 RIL	HO190	11YN2091	9	11YXH2263	0	12RIL0154	0	100/200 means more than 100/200;0 means missing	
157	BB155	756-1-2	BY804/B73 RIL	HO191	11YN2072	100	11YXH2264	100	12RIL0155	200	100/200 means more than 100/200;0 means missing	
158	BB156	HZAU-757-2	BY804/B73 RIL	HO192	11YN2165	100	11YXH2265	100	12RIL0156	200	100/200 means more than 100/200;0 means missing	
159	BB157	HZAU-758-2	BY804/B73 RIL	HO193	11YN2079	0	11YXH2266	100	12RIL0157	200	100/200 means more than 100/200;0 means missing	
160	BB158	HZAU-759-1	BY804/B73 RIL	HO194	11YN2048	100	11YXH2267	100	12RIL0158	200	100/200 means more than 100/200;0 means missing	
161	BB159	HZAU-760-2	BY804/B73 RIL	HO195	11YN2036	100	11YXH2268	100	12RIL0159	200	100/200 means more than 100/200;0 means missing	
162	BB160	HZAU-761-2	BY804/B73 RIL	HO196	11YN1978	100	11YXH2269	100	12RIL0160	200	100/200 means more than 100/200;0 means missing	
163	BB161	HZAU-762-2	BY804/B73 RIL	HO199	11YN1995	6	11YXH2270	100	12RIL0161	200	100/200 means more than 100/200;0 means missing	
164	BB162	HZAU-763-2	BY804/B73 RIL	HO200	11YN1980	100	11YXH2271	100	12RIL0162	200	100/200 means more than 100/200;0 means missing	
165	BB163	HZAU-764-1	BY804/B73 RIL	HO201	11YN1989	100	11YXH2272	100	12RIL0163	200	100/200 means more than 100/200;0 means missing	
166	BB164	HZAU-765-1	BY804/B73 RIL	HO202	11YN2122	100	11YXH2273	100	12RIL0164	200	100/200 means more than 100/200;0 means missing	
167	BB165	HZAU-766-2	BY804/B73 RIL	HO203	11YN2038	100	11YXH2274	100	12RIL0165	200	100/200 means more than 100/200;0 means missing	
168	BB166	HZAU-767-1	BY804/B73 RIL	HO205	11YN2031	46	11YXH2275	100	12RIL0166	200	100/200 means more than 100/200;0 means missing	
169	BB167	HZAU-768-2	BY804/B73 RIL	HO206	11YN2037	100	11YXH2276	0	12RIL0167	0	100/200 means more than 100/200;0 means missing	
170	BB168	HZAU-769-3	BY804/B73 RIL	HO207	11YN2127	37	11YXH2277	100	12RIL0168	0	100/200 means more than 100/200;0 means missing	
171	BB169	HZAU-770-2	BY804/B73 RIL	HO208	11YN2140	5	11YXH2278	100	12RIL0169	200	100/200 means more than 100/200;0 means missing	
172	BB170	HZAU-771-2	BY804/B73 RIL	HO209	11YN2089	100	11YXH2279	100	12RIL0170	200	100/200 means more than 100/200;0 means missing	
173	BB171	HZAU-772-1	BY804/B73 RIL	HO210	11YN2019	18	11YXH2280	100	12RIL0171	200	100/200 means more than 100/200;0 means missing	
174	BB172	HZAU-773-1	BY804/B73 RIL	HO213	11YN2115	0	11YXH2281	68	12RIL0172	122	100/200 means more than 100/200;0 means missing	
175	BB173	HZAU-774-3	BY804/B73 RIL	HO216	11YN2174	0	11YXH2282	100	12RIL0173	0	100/200 means more than 100/200;0 means missing	
176	BB174	HZAU-775-2	BY804/B73 RIL	HO217	11YN2035	100	11YXH2283	100	12RIL0174	200	100/200 means more than 100/200;0 means missing	
177	BB175	HZAU-776-2	BY804/B73 RIL	HO218	11YN2050	100	11YXH2284	100	12RIL0175	200	100/200 means more than 100/200;0 means missing	
178	BB176	HZAU-777-1	BY804/B73 RIL	HO219	11YN2073	19	11YXH2285	100	12RIL0176	200	100/200 means more than 100/200;0 means missing	
179	BB177	HZAU-778-1	BY804/B73 RIL	HO222	11YN2147	100	11YXH2286	100	12RIL0177	200	100/200 means more than 100/200;0 means missing	
180	BB178	HZAU-779-2	BY804/B73 RIL	HO223	11YN2111	100	11YXH2287	100	12RIL0178	200	100/200 means more than 100/200;0 means missing	
181	BB179	HZAU-780-2	BY804/B73 RIL	HO224	11YN2025	100	11YXH2288	100	12RIL0179	200	100/200 means more than 100/200;0 means missing	
182	BB180	HZAU-781-1	BY804/B73 RIL	HO225	11YN2164	0	11YXH2289	100	12RIL0180	200	100/200 means more than 100/200;0 means missing	
183	BB181	HZAU-782-2	BY804/B73 RIL	HO226	11YN2017	0	11YXH2290	100	12RIL0181	100	100/200 means more than 100/200;0 means missing;in two bags(12RIL)	
184	BB182	HZAU-783-2	BY804/B73 RIL	HO227	11YN2144	100	11YXH2291	100	12RIL0182	200	100/200 means more than 100/200;0 means missing;use the white cob(12RIL)	
185	BB183	HZAU-784-1	BY804/B73 RIL	HO228	11YN2098	100	11YXH2292	100	12RIL0183	200	100/200 means more than 100/200;0 means missing	
186	BB184	HZAU-785-1	BY804/B73 RIL	HO229	11YN2029	100	11YXH2293	100	12RIL0184	200	100/200 means more than 100/200;0 means missing	
187	BB185	HZAU-786-1	BY804/B73 RIL	HO230	11YN2001	100	11YXH2294	42	12RIL0185	200	100/200 means more than 100/200;0 means missing	
188	BB186	HZAU-787-1	BY804/B73 RIL	HO231	11YN2143	100	11YXH2295	100	12RIL0186	200	100/200 means more than 100/200;0 means missing	
189	BB187	HZAU-788-2	BY804/B73 RIL	HO232	11YN2148	100	11YXH2296	100	12RIL0187	200	100/200 means more than 100/200;0 means missing	
190	BB188	HZAU-789-1	BY804/B73 RIL	HO233	11YN2041	100	11YXH2297	100	12RIL0188	200	100/200 means more than 100/200;0 means missing	
191	BB189	HZAU-790-2	BY804/B73 RIL	HO234	11YN1985	100	11YXH2298	100	12RIL0189	0	100/200 means more than 100/200;0 means missing	
192	BB190	HZAU-791-2	BY804/B73 RIL	HO235	11YN2084	28	11YXH2299	100	12RIL0190	200	100/200 means more than 100/200;0 means missing	
193	BB191	HZAU-792-1	BY804/B73 RIL	HO237	11YN2020	100	11YXH2300	100	12RIL0191	0	100/200 means more than 100/200;0 means missing	
194	BB192	HZAU-793-1	BY804/B73 RIL	HO238	11YN2013	100	11YXH2301	43	12RIL0192	0	100/200 means more than 100/200;0 means missing	
195	BB193	HZAU-794-1	BY804/B73 RIL	HO239	11YN2153	100	11YXH2302	100	12RIL0193	200	100/200 means more than 100/200;0 means missing	
196	BB194	HZAU-795-1	BY804/B73 RIL	HO240	11YN1970	80	11YXH2303	100	12RIL0194	200	100/200 means more than 100/200;0 means missing	
197	BB195	HZAU-796-2	BY804/B73 RIL	HO241	11YN2066	46	11YXH2304	100	12RIL0195	200	100/200 means more than 100/200;0 means missing	
198	BB196	HZAU-797-2	BY804/B73 RIL	HO242	11YN2042	41	11YXH2305	100	12RIL0196	200	100/200 means more than 100/200;0 means missing	
199	BB197	HZAU-798-2	BY804/B73 RIL	HO243	11YN2107	100	11YXH2306	100	12RIL0197	200	100/200 means more than 100/200;0 means missing;in two bags(12RIL)	
200	BB198	HZAU-799-2	BY804/B73 RIL	HO245	11YN2088	100	11YXH2307	100	12RIL0198	200	100/200 means more than 100/200;0 means missing	
201	BB199	HZAU-800-2	BY804/B73 RIL	HO248	11YN2136	0	11YXH2308	63	12RIL0199	200	100/200 means more than 100/200;0 means missing	
202	No_NAME	No_ARRAY	BY804/B73 RIL	HO038	11YN2133	100	11YXH2139	100	No_NAME	0	100/200 means more than 100/200;0 means missing	
203	No_NAME	No_ARRAY	BY804/B73 RIL	11YXB608 Mixed	No_NAME	0	11YXH2116	100	No_NAME	0	100/200 means more than 100/200;0 means missing	
