Trait	Plantheight	Earheight	Earleafwidth	Earleaflength	Tasselmainaxislength	Tasselbranchnumber	Leafnumberaboveear	Earlength	Eardiameter	Cobdiameter	Earrownumber	Kernernumberperrow	grainweight	cobweight	kernellength	Kernelwidth	Kernelthickness	Silkingtime	Pollenshed	Headingdate	cobcolor
WH413	131.3158987	56.72892034	7.492339603	61.88223347	22.88694642	7.19190789	4.435720324	9.259493307	3.620778857	61.88223347	9.999999999	17.22029897	19.67403344	12.13443012	7.451595808	7.763988852	4.764376368	66.6724	67.2395	64.247	0
WMR	131.6535992	48.22493435	6.543422658	65.94833392	22.38727454	7.523798275	5.316316748	9.999999999	3.277493267	65.94833392	9.999999999	21.30349572	16.8480088	11.64949366	7.375559904	7.160935162	4.476773307	68.0644	67.4621	66.7015	0
WU109	140.6877516	51.69601889	8.031608829	64.23659093	32.80580599	6.443899478	4.490979869	9.999999999	3.707407369	64.23659093	9.999999999	20.52275935	20.094957	10.28890901	8.33820314	7.890555676	4.968481767	69.5634	66.0152	62.5735	1
XI502	131.7869953	43.40544955	8.187300485	59.78662785	26.39583621	3.494816349	5.040429362	9.999999999	3.879238571	59.78662785	9.999999999	20.59557624	20.05426486	11.58998138	8.9077551	8.483186216	4.292548305	64.9593	63.4553	62.0157	0
XUN971	155.2700304	53.69416412	9.789648383	66.46583761	26.11989801	7.047437958	5.546519261	9.999999999	4.042796496	66.46583761	9.999999999	18.99360454	25.62346007	17.93414234	10.31657128	8.414691229	5.419104075	67.8502	67.0169	64.8049	0
XZ698	161.3719057	58.01262211	7.299821583	85.58504001	27.0260194	4.582524331	5.373080885	9.127888617	4.309612315	85.58504001	9.999999999	19.82885717	22.57474579	18.02705418	8.564876212	7.717829187	4.486050825	72.8826	73.4723	70.0486	1
YAN414	156.708692	56.44407038	9.857248461	64.74840777	28.13350109	3.540137515	4.843191083	9.999999999	3.742058774	64.74840777	9.999999999	22.72011626	19.77468907	13.1313148	8.560572293	7.778879067	4.55894561	68.2785	66.4604	63.0198	0
YE107	144.7036968	47.99282503	8.920528089	65.65952972	27.59346481	2.617093578	5.68261394	9.999999999	4.006049305	65.65952972	9.999999999	17.38468827	27.82138132	16.70032329	8.794270938	8.756044667	5.014189294	76.2392	72.3343	69.136	1
YE478	142.4223444	49.73386632	8.478994455	65.22610349	23.29712482	9.999999999	5.016219116	9.999999999	3.796042016	65.22610349	9.999999999	20.78190183	23.83609229	16.61908242	8.772345434	9.066480173	5.409942704	70.9553	69.3542	67.4825	0
YE515	152.3095007	56.57821484	7.805181385	62.03009167	27.712136	5.044381874	5.413294515	9.999999999	4.036778094	62.03009167	9.999999999	18.80085393	22.19652462	18.96606084	8.507490625	8.757166164	5.372716484	71.7048	68.3525	66.0321	0
YE52106	168.3503841	74.09096747	9.999999999	59.27765444	32.34342306	6.204045923	4.779451112	9.999999999	3.890877441	59.27765444	9.999999999	24.28353784	20.06140512	18.27005439	8.936447894	7.793769281	4.667625108	71.2765	68.6864	66.2553	1
YE8001	136.2636317	43.136719	7.428896164	69.68459685	26.95144151	8.199292822	4.889423079	9.999999999	3.560777213	69.68459685	9.999999999	19.38553077	22.55278456	10.74528516	8.879062306	8.228563547	4.765701728	68.9209	68.2412	65.6974	0
YU374	164.196491	53.18850023	7.953945309	63.39493657	28.40943929	9.288674201	5.510956187	9.999999999	3.320953015	63.39493657	9.999999999	23.06756779	26.29886591	12.9407264	9.318062053	7.963517727	4.735218454	72.6684	70.4672	68.0403	1
YU87-1	144.6120793	45.73823829	8.778710008	70.75372536	24.28528188	8.472614314	5.224673442	9.999999999	4.042249368	70.75372536	9.999999999	17.42657263	30.55788623	21.20511566	10.10612549	9.149083011	5.056695324	68.7068	66.1265	64.5817	1
YUN46	205.9823823	98.67759557	8.419795025	78.55325503	29.37064731	9.999999999	6.167434092	9.999999999	4.190923176	78.55325503	9.999999999	21.4829658	27.10645942	28.59012304	9.009730769	9.21999295	4.785706283	76.1418	75.3279	71.1764	0
Z2018F	178.3946465	66.60051741	9.826620594	66.15874751	31.86612456	4.972425808	5.577021436	9.999999999	4.115199695	66.15874751	9.999999999	19.95735757	24.63666119	21.55770419	9.6595063	8.097529658	4.801486441	71.1694	71.3576	68.375	0
ZAC546	153.4117914	45.71648812	8.478994455	64.73703406	32.08240044	8.731990833	5.230418246	9.999999999	3.609653932	64.73703406	9.999999999	25.58139192	23.46234547	11.7304901	8.824545997	9.290235845	4.497979063	66.6724	65.2361	63.3545	1
ZB648	168.0789385	61.87841155	8.332965161	65.80616257	29.55420992	9.077826192	5.460210416	9.999999999	4.101521508	65.80616257	9.999999999	20.32144205	25.66761889	13.40290326	9.112908576	8.304503641	4.702084461	69.028	67.5734	64.4702	1
ZH68	135.0199677	41.76270433	7.492339603	60.8813472	25.76658526	5.473887078	5.556914621	9.999999999	3.434026021	60.8813472	9.999999999	21.48273108	21.22352016	8.757311144	8.582091889	8.213673332	4.80678788	65.8159	64.3457	62.462	0
ZHENG22	154.9029695	60.80569749	9.579409955	69.49124382	28.68164859	9.999999999	5.689045119	9.999999999	4.133619652	69.49124382	9.999999999	21.32655549	23.05739708	20.08540884	9.765669638	8.358108413	4.977759285	70.4199	68.4638	66.59	1
ZHENG28	152.7757224	68.85370273	9.500652583	71.82285387	27.782985	7.250476782	4.970671025	9.999999999	4.297393135	71.82285387	9.999999999	22.14400611	24.92886755	17.73371179	9.538996566	8.502543495	4.919443457	72.4543	70.022	67.9288	1
ZHENG29	165.4459162	56.80852377	8.393673968	62.75800895	29.52437876	7.925971329	5.241907855	9.999999999	3.747712425	62.75800895	9.999999999	23.81236969	22.37038435	13.12791563	10.08415965	7.862264268	4.604007841	71.2765	68.3525	66.0321	1
ZHENG30	171.0501044	60.64262641	7.894877281	75.42604442	26.86343959	7.890829994	5.636384414	9.999999999	3.748077176	75.42604442	9.999999999	23.80600247	23.81006493	17.46958313	8.464451434	7.909912955	4.728591656	68.2785	66.2378	64.4702	1
ZHENG32	156.4451128	56.38522347	7.813932204	63.49729994	27.641287	4.763251196	5.555136468	9.999999999	3.129093656	63.49729994	9.999999999	19.02057893	21.83965465	10.51548908	9.407009714	7.396200552	4.537739855	72.4543	71.2463	68.8213	0
ZHENG35	168.3745372	52.85573364	8.048016615	65.26249935	28.2356728	8.054822889	5.728848406	9.999999999	3.655430262	65.26249935	9.999999999	23.28980138	20.33287031	9.512517658	9.584905036	7.954583598	4.75774957	70.2058	69.1316	66.0321	1
ZHENG58	137.9257651	39.6773376	8.223032996	68.60409463	27.94705636	4.657827192	4.797916554	9.999999999	4.034042456	68.60409463	9.999999999	22.31647323	27.86432573	14.99669871	9.748453962	8.72291867	4.923419536	66.9937	66.1265	63.3545	0
ZHENG653	154.2421934	50.920962	7.943006786	62.91724086	26.27651159	6.590600606	5.37116595	9.938035769	3.694823438	62.91724086	9.999999999	22.66454407	19.17990578	12.67390265	8.642346756	7.476607711	4.301825823	73.3109	70.5785	68.4866	1
ZHI41	179.1771854	73.67517485	8.428677245	57.13257319	25.5083593	9.999999999	6.21086484	9.999999999	3.749536183	57.13257319	9.999999999	20.79906335	20.90630241	15.32546369	8.709774822	8.593373803	4.492677624	75.024	74.0288	70.4948	1
ZHONG69	167.5275162	69.26839129	9.999999999	75.29183467	34.35263518	8.800600106	5.1231819	9.999999999	3.973493685	75.29183467	9.999999999	22.66236971	23.31593727	19.97105581	8.854673431	8.608264018	4.752448131	75.1311	72.8045	69.937	0
ZI330	169.8603971	59.51967717	8.877156723	71.33378444	31.29560369	9.999999999	5.911177551	9.999999999	3.638469311	71.33378444	9.999999999	22.83148327	20.74067664	15.71426401	8.817372799	7.557014869	5.042701912	71.4906	67.4621	64.9165	0
ZONG3	153.0836193	46.66532557	7.875187938	67.11413894	30.99356323	8.816218477	5.399889972	9.999999999	3.211892276	67.11413894	9.999999999	21.39573478	24.48164273	9.214723291	9.732437348	8.998115713	5.017204433	70.661	67.2693	66.1437	1
ZONG31	149.5665087	52.46472589	7.85710068	63.59466356	31.34509819	6.496866972	4.650817208	9.999999999	3.401233015	63.59466356	9.999999999	24.41345458	22.64989336	12.78709796	10.12002564	8.909046352	4.41315604	71.8119	68.6864	65.028	1
ZZ01	185.822949	57.42216567	9.041234581	69.40025416	31.57527078	7.336377822	5.889155801	9.999999999	3.732757608	69.40025416	9.999999999	25.83526184	24.50855402	20.41655618	9.262111105	8.286635383	4.66099831	66.7795	66.4604	65.028	1
ZZ03	178.9034131	66.6940321	8.172715787	78.30586717	28.4653727	7.734646283	5.448720808	9.999999999	3.718532294	78.30586717	9.999999999	25.3329578	23.68073769	20.86634479	8.452974316	8.186870946	4.940649212	68.7068	68.2412	65.9206	1
